"Data.in.Byte" , "Gap.in.Byte" , "Datasieving.1.on" , "Buffer.in.MByte" , "fill_level"     , "mean_value"      
131072         , 8192          , 1                  , 100               , 94.1176470588235 , 89.5488798        
131072         , 16384         , 0                  , 4                 , 88.8888888888889 , 86.3409052        
131072         , 16384         , 1                  , 1                 , 88.8888888888889 , 86.214797         
131072         , 16384         , 1                  , 4                 , 88.8888888888889 , 85.4148426        
131072         , 16384         , 1                  , 100               , 88.8888888888889 , 85.4148426        
131072         , 32768         , 0                  , 4                 , 80               , 77.2574482        
131072         , 32768         , 1                  , 1                 , 80               , 76.1081528        
131072         , 32768         , 1                  , 4                 , 80               , 76.400437         
131072         , 32768         , 1                  , 100               , 80               , 76.400437         
131072         , 65536         , 0                  , 4                 , 66.6666666666667 , 40.2958568        
131072         , 65536         , 1                  , 1                 , 66.6666666666667 , 48.8484346        
131072         , 65536         , 1                  , 4                 , 66.6666666666667 , 57.635584         
131072         , 65536         , 1                  , 100               , 66.6666666666667 , 57.635584         
131072         , 131072        , 0                  , 4                 , 50               , 40.3645258        
131072         , 131072        , 1                  , 1                 , 50               , 50.6279896        
131072         , 131072        , 1                  , 4                 , 50               , 53.0534668        
131072         , 131072        , 1                  , 100               , 50               , 53.0534668        
131072         , 262144        , 0                  , 4                 , 33.3333333333333 , 25.3223648        
131072         , 262144        , 1                  , 1                 , 33.3333333333333 , 17.5904086        
131072         , 262144        , 1                  , 4                 , 33.3333333333333 , 21.1322514        
131072         , 262144        , 1                  , 100               , 33.3333333333333 , 21.1322514        
131072         , 393216        , 0                  , 4                 , 25               , 45.6259658        
131072         , 393216        , 1                  , 1                 , 25               , 28.7186172        
131072         , 393216        , 1                  , 4                 , 25               , 29.6994238        
131072         , 393216        , 1                  , 100               , 25               , 29.6994238        
131072         , 524288        , 0                  , 4                 , 20               , 39.7700338        
131072         , 524288        , 1                  , 1                 , 20               , 19.3050016        
131072         , 524288        , 1                  , 4                 , 20               , 20.7407464        
131072         , 524288        , 1                  , 100               , 20               , 20.7407464        
