#Data.in.Byte;Gap.in.Byte;Datasieving.1.on;Buffer.in.MByte;Performance.in.MByte/s;Prediction.in.MByte/s
#Data;Gap;Datasieving;Buffer;Performance
#Byte;Byte;on/off;MByte;MByte/s
524288;65536;0;1;67.706435
524288;65536;0;1;72.081137
524288;65536;0;1;67.525736
524288;65536;0;1;66.983317
524288;131072;0;1;47.724129
524288;131072;0;1;47.840144
524288;131072;0;1;48.292325
524288;131072;0;1;48.696263
524288;131072;0;1;48.204138
524288;262144;0;1;42.021509
524288;262144;0;1;41.939127
524288;262144;0;1;43.088785
524288;262144;0;1;43.060309
524288;262144;0;1;39.739377
524288;524288;0;1;47.408896
524288;524288;0;1;44.649509
524288;524288;0;1;48.435603
524288;524288;0;1;46.744969
524288;524288;0;1;46.627077
524288;1048576;0;1;30.546841
524288;1048576;0;1;29.307293
524288;1048576;0;1;36.810278
524288;1048576;0;1;36.318115
524288;1048576;0;1;35.369808
524288;1572864;0;1;84.51733
524288;1572864;0;1;86.671724
524288;1572864;0;1;78.86122
524288;1572864;0;1;83.161621
524288;1572864;0;1;84.579233
524288;2097152;0;1;63.592836
524288;2097152;0;1;59.28001
524288;2097152;0;1;62.820692
524288;2097152;0;1;67.060353
524288;2097152;0;1;63.516917
524288;2621440;0;1;66.372008
524288;2621440;0;1;52.394449
524288;2621440;0;1;62.591731
524288;2621440;0;1;43.013182
524288;2621440;0;1;45.495833
524288;3145728;0;1;73.106897
524288;3145728;0;1;62.539723
524288;3145728;0;1;64.834114
524288;3145728;0;1;59.635939
524288;3145728;0;1;62.51269
524288;3670016;0;1;100.525912
524288;3670016;0;1;96.588856
524288;3670016;0;1;101.576813
524288;3670016;0;1;101.335646
524288;3670016;0;1;98.982655
524288;4194304;0;1;46.759308
524288;4194304;0;1;42.081166
524288;4194304;0;1;49.948483
524288;4194304;0;1;48.640699
524288;4194304;0;1;46.75476
524288;4718592;0;1;66.966492
524288;4718592;0;1;68.115455
524288;4718592;0;1;71.238527
524288;4718592;0;1;65.166999
524288;4718592;0;1;72.156315
524288;5242880;0;1;50.3685
524288;5242880;0;1;45.465574
524288;5242880;0;1;51.327766
524288;5242880;0;1;49.417371
524288;5242880;0;1;46.349872
524288;5767168;0;1;90.017356
524288;5767168;0;1;83.895594
524288;5767168;0;1;84.303817
524288;5767168;0;1;80.880535
524288;5767168;0;1;70.539736
2048000;0;1;1;95.997078
2048000;0;1;1;94.921504
2048000;0;1;1;93.10418
2048000;0;1;1;95.839109
2048000;0;1;1;95.407226
2048000;32000;1;1;93.76663
